dt,roc_auc_score,accuracy,precision,recall,f1_score,hit_ratio_k,ndcg_k,model
2023-09-01,0.5001373849407272,0.9750925571731177,0.010433856800638807,0.017550143266475644,0.01308716989950923,0.0,0.0,knn
2023-09-02,0.5107300825958266,0.9323960353372118,0.013888178859294855,0.08613400972310294,0.023919583241617137,0.0,0.0,knn
2023-09-03,0.49035757799409535,0.9152636882767887,0.009785396139829936,0.06333721607454863,0.016951794552043955,0.0,0.0,knn
2023-09-04,0.47312291816673807,0.8321886899492001,0.010798662500685193,0.11768219832735961,0.01978209569714314,0.0,0.0,knn
