dt,roc_auc_score,accuracy,precision,recall,f1_score,hit_ratio_k,ndcg_k,model
2023-08-14,0,0.29583333333333334,0.2755505289898007,0.29583333333333334,0.19473302010766885,0,0,ncf
2023-08-15,0,0.5,0.25,0.5,0.3333333333333333,0,0,ncf
2023-08-16,0,0.0,0.0,0.0,0.0,0,0,ncf
2023-08-17,0,0.07407407407407407,0.0054869684499314125,0.07407407407407407,0.010217113665389528,0,0,ncf
2023-08-18,0,0.0,0.0,0.0,0.0,0,0,ncf
2023-08-19,0,0.07317073170731707,0.052028721221791654,0.07317073170731707,0.04751092555970604,0,0,ncf
2023-08-20,0,0.15555555555555556,0.0497527972937809,0.15555555555555556,0.06909676474893867,0,0,ncf
2023-08-21,0,0.7251908396946565,0.6330680196114938,0.7251908396946565,0.6740324605198709,0,0,ncf
2023-08-22,0,0.30405405405405406,0.5771396396396395,0.30405405405405406,0.37789317201081907,0,0,ncf
2023-08-23,0,0.0,0.0,0.0,0.0,0,0,ncf
2023-08-24,0,0.8235294117647058,0.8313725490196078,0.8235294117647058,0.8102609464838568,0,0,ncf
2023-08-25,0,0.0,0.0,0.0,0.0,0,0,ncf
2023-08-26,0,0.24390243902439024,0.336411149825784,0.24390243902439024,0.20883317224780643,0,0,ncf
2023-08-27,0,0.3492063492063492,0.2458972289480764,0.3492063492063492,0.2240568954854669,0,0,ncf
2023-08-28,0,0.2857142857142857,0.6428571428571429,0.2857142857142857,0.38571428571428573,0,0,ncf
2023-08-30,0,0.15625,0.10416666666666666,0.15625,0.125,0,0,ncf
2023-08-31,0,0.25,0.3823529411764706,0.25,0.2077861163227017,0,0,ncf
2023-09-01,0,0.2150170648464164,0.5999192593010464,0.2150170648464164,0.23860908640867204,0,0,ncf
2023-09-02,0,0.0,0.0,0.0,0.0,0,0,ncf
2023-09-03,0,0.45454545454545453,0.20661157024793386,0.45454545454545453,0.2840909090909091,0,0,ncf
2023-09-04,0,0.14754098360655737,0.8203953712632595,0.14754098360655737,0.21388938929922535,0,0,ncf
2023-09-05,0,0.0,0.0,0.0,0.0,0,0,ncf
