dt,roc_auc_score,accuracy,precision,recall,f1_score,hit_ratio_k,ndcg_k,model
2023-08-15,0.5038317669296812,0.9883507050889023,0.0071428571428571435,0.016213151927437643,0.009870461594599525,0.14285714285714285,0.007708679160983033,svd
2023-08-16,0.49569897078851594,0.9892842309289767,0.0,0.0,0.0,0.0,0.0,svd
2023-08-17,0.5107842516877729,0.9879033539977746,0.016666666666666666,0.030041152263374487,0.0210727969348659,0.18518518518518517,0.016792487779478317,svd
2023-08-18,0.500262430800252,0.9889972688255949,0.004545454545454546,0.009090909090909092,0.006060606060606061,0.09090909090909091,0.004545454545454546,svd
2023-08-19,0.49569923831370016,0.9893461247159808,0.0,0.0,0.0,0.0,0.0,svd
2023-08-20,0.49736584790131794,0.9876967095851216,0.0016666666666666668,0.0033333333333333335,0.0022222222222222222,0.03333333333333333,0.0016666666666666668,svd
2023-08-21,0.4976312409875789,0.9895262462859032,0.0019230769230769232,0.0038461538461538464,0.002564102564102564,0.038461538461538464,0.0019230769230769232,svd
2023-08-22,0.5006990306206147,0.9891437416449732,0.004918032786885246,0.009959666926880042,0.006544551116093696,0.04918032786885246,0.005096068508261955,svd
2023-08-23,0.49686684732223496,0.9893202914462524,0.0011627906976744186,0.002325581395348837,0.0015503875968992248,0.023255813953488372,0.0011627906976744186,svd
2023-08-24,0.49740160695065894,0.9894085982396161,0.0016949152542372883,0.0033898305084745766,0.0022598870056497176,0.03389830508474576,0.0016949152542372883,svd
2023-08-25,0.49994714776745,0.9878443859892011,0.004838709677419356,0.008467741935483872,0.006093189964157706,0.06451612903225806,0.004838709677419356,svd
2023-08-26,0.49569680917826714,0.9887820038478613,0.0,0.0,0.0,0.0,0.0,svd
2023-08-27,0.4956966856736932,0.9887531638604602,0.0,0.0,0.0,0.0,0.0,svd
2023-08-28,0.5045023275416815,0.9888186130562457,0.007894736842105265,0.01754385964912281,0.010796221322537112,0.13157894736842105,0.008388015817869217,svd
2023-08-29,0.5000616944999402,0.9884679977607762,0.004347826086956522,0.008695652173913044,0.005797101449275362,0.08695652173913043,0.004347826086956522,svd
2023-08-30,0.49713279690934603,0.9890987124463523,0.0014285714285714286,0.002857142857142857,0.0019047619047619048,0.02857142857142857,0.0014285714285714286,svd
2023-08-31,0.5047216386450497,0.9898039670571865,0.002702702702702703,0.018018018018018018,0.004700352526439484,0.05405405405405406,0.005762691183207832,svd
2023-09-01,0.4970533839054133,0.9886672079805131,0.0013513513513513514,0.002702702702702703,0.0018018018018018018,0.02702702702702703,0.0013513513513513514,svd
2023-09-02,0.4988116083172703,0.9887852211233437,0.002173913043478261,0.006211180124223602,0.0032206119162640906,0.0,0.0027150368026787114,svd
2023-09-03,0.49966962173144,0.9891045649629343,0.00340909090909091,0.007913961038961038,0.00462962962962963,0.045454545454545456,0.003974811202800471,svd
2023-09-04,0.49657627382869607,0.9884496649348693,0.0008771929824561404,0.0017543859649122807,0.0011695906432748538,0.017543859649122806,0.0008771929824561404,svd
2023-09-05,0.49778221116361127,0.9885527334130726,0.002459016393442623,0.004151933997642773,0.003041304447466121,0.03278688524590164,0.0025147077056707303,svd
2023-09-06,0.5006095124979604,0.9890128755364807,0.0037500000000000007,0.009791666666666666,0.005375457875457876,0.025,0.004405190250927372,svd
