,dt,roc_auc_score,accuracy,precision,recall,f1_score,hit_ratio_k,ndcg_k,model
0,2023-10-19,0,2.169432693350689e-06,1.0,2.169432693350689e-06,4.3388559738453765e-06,6.9698553755009586e-06,2.1034029892338495e-06,als
0,2023-10-20,0,9.947734602398995e-07,1.0,9.947734602398995e-07,1.989544941333293e-06,1.2215441295032224e-06,3.301078311084777e-07,als
0,2023-10-21,0,5.326137130277314e-06,1.0,5.326137130277314e-06,1.0652217525383347e-05,6.451377046430561e-06,3.269209844860123e-06,als
0,2023-10-22,0,5.493670376114986e-06,1.0,5.493670376114986e-06,1.098728039173317e-05,6.6008633929317955e-06,1.7896982279282475e-06,als
0,2023-10-23,0,1.0648493238206794e-05,1.0,1.0648493238206794e-05,2.1296759698011947e-05,1.2561709397414801e-05,3.65955630424519e-06,als
0,2023-10-24,0,1.6841594696918662e-06,1.0,1.6841594696918662e-06,3.368313266607048e-06,1.8952459650213404e-06,4.977854714939723e-07,als
0,2023-10-25,0,0.00014887894156997807,1.0,0.00014887894156997807,0.0002977135598602731,0.0001632044652741699,5.674377729626643e-05,als
