dt,roc_auc_score,accuracy,precision,recall,f1_score,hit_ratio_k,ndcg_k,model
2023-08-15,0.5097480730922425,0.9883200490496628,0.005357142857142858,0.02806122448979592,0.008537758537758539,0.03571428571428571,0.005904595707826302,knn
2023-08-16,0.5113321000178352,0.9894503668835661,0.009677419354838712,0.031182795698924726,0.013136979897148201,0.03225806451612903,0.009677419354838712,knn
2023-08-17,0.5191334803748769,0.9879669368939754,0.020370370370370372,0.04670781893004115,0.02761600681140911,0.0,0.020370370370370372,knn
2023-08-18,0.5957559676502414,0.9891533359344518,0.01363636363636364,0.2,0.02458874458874459,0.0,0.023917543214285977,knn
2023-08-19,0.5251236315145186,0.9893966170159051,0.0029411764705882353,0.058823529411764705,0.0056022408963585435,0.0,0.006267440451680757,knn
2023-08-20,0.5074017519922832,0.9878397711015736,0.010000000000000002,0.023333333333333334,0.013777777777777778,0.0,0.010000000000000002,knn
2023-08-21,0.4990776861025786,0.9895427533839553,0.002884615384615385,0.00673076923076923,0.00402930402930403,0.019230769230769232,0.002884615384615385,knn
2023-08-22,0.5172461472934148,0.9891859565186802,0.007377049180327869,0.0430327868852459,0.011177347242921014,0.01639344262295082,0.008806620447817146,knn
2023-08-23,0.5248038575034755,0.9894400638786308,0.008139534883720932,0.05813953488372093,0.012181616832779622,0.0,0.010769604078073158,knn
2023-08-24,0.5222858695068935,0.9895104386411583,0.007627118644067798,0.053107344632768366,0.012234093590025792,0.03389830508474576,0.009364958087050547,knn
2023-08-25,0.4989321130558767,0.9878166966634361,0.0032258064516129032,0.0064516129032258064,0.004301075268817204,0.0,0.0032258064516129032,knn
2023-08-26,0.5124577441636854,0.9889891963889297,0.012068965517241381,0.03341792307309549,0.017445448387107706,0.034482758620689655,0.012068965517241381,knn
2023-08-27,0.5143929537797399,0.9889952679652253,0.014102564102564105,0.03727106227106227,0.020166870166870167,0.02564102564102564,0.014102564102564105,knn
2023-08-28,0.5231605371558249,0.9889315563587081,0.014473684210526317,0.05480367585630743,0.021398000040876747,0.0,0.014877070521556223,knn
2023-08-29,0.5382550736272295,0.9890651240903152,0.0391304347826087,0.08478260869565217,0.05289855072463768,0.043478260869565216,0.0391304347826087,knn
2023-08-30,0.501102852448553,0.9891189093663217,0.0029411764705882353,0.010784313725490198,0.004615384615384616,0.0,0.0029411764705882353,knn
2023-08-31,0.5053026533439752,0.9898967637165067,0.008108108108108109,0.019133419133419132,0.011335473404438922,0.02702702702702703,0.008108108108108109,knn
2023-09-01,0.5055601389898121,0.9887600046398335,0.006756756756756757,0.01966966966966967,0.00979879083327359,0.02702702702702703,0.006756756756756757,knn
2023-09-02,0.5116164669934006,0.9889345027057286,0.010869565217391304,0.03174603174603175,0.01612868779285571,0.0,0.010869565217391304,knn
2023-09-03,0.5245396438449212,0.989260632071791,0.0125,0.05757575757575757,0.01855176307949921,0.022727272727272728,0.013785147447240293,knn
2023-09-04,0.5175811156925268,0.9888412017167383,0.02368421052631579,0.0435672514619883,0.02967886116706444,0.03508771929824561,0.02368421052631579,knn
2023-09-05,0.5065918782868468,0.9886653064096251,0.009016393442622951,0.021714806141035648,0.012603427339153738,0.03278688524590164,0.009016393442622951,knn
2023-09-06,0.536181095249477,0.9895708154506437,0.036250000000000004,0.08065476190476191,0.049963510308337906,0.075,0.036250000000000004,knn
